artist_id,name,type,album_name,descripcion,album_year,album_format,album_id,uri,albums,album_format_2,gender
1,The Persuader,artist,Volume 1-4 - Live At Robert Johnson,"electronic artist working out of stockholm, active since 1994.",2010,CD,2219613,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,CD,electronic
1,The Persuader,artist,Live At Robert Johnson,"electronic artist working out of stockholm, active since 1994.",2010,varios,944234,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist,My Busted SH-101,"electronic artist working out of stockholm, active since 1994.",2014,"12""",5468479,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,Guitarra Trina,"electronic artist working out of stockholm, active since 1994.",2014,"12""",5885934,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,Soppåsar / 5 Months Later,"electronic artist working out of stockholm, active since 1994.",2015,"12""",6699352,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,Diffused Light Vol. 1,"electronic artist working out of stockholm, active since 1994.",2015,varios,2388250,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist, Heart (Remixes)  ,"electronic artist working out of stockholm, active since 1994.",2015,varios,1723086,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist,Capricorn Meets Leo,"electronic artist working out of stockholm, active since 1994.",2016,"12""",8321965,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,Welcome To The Present Remixe,"electronic artist working out of stockholm, active since 1994.",2016,"5xFile, WAV, Single",15490621,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,,electronic
1,The Persuader,artist,Consistency Remixes ,"electronic artist working out of stockholm, active since 1994.",2016,varios,1644222,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist,Water Colors EP,"electronic artist working out of stockholm, active since 1994.",2017,varios,2303872,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist,Odd Even Red One,"electronic artist working out of stockholm, active since 1994.",2018,"10x12"", Ltd, Red",11940415,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,KaRavan - Heartfulness,"electronic artist working out of stockholm, active since 1994.",2018,CD,24489959,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,CD,electronic
1,The Persuader,artist,Soft Serve Angel EP,"electronic artist working out of stockholm, active since 1994.",2020,"12"", EP, Ltd",15695576,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,Vinyl,electronic
1,The Persuader,artist,Silent Ghost,"electronic artist working out of stockholm, active since 1994.",2021,"3xFile, MP3, EP, 320",21237538,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,,electronic
1,The Persuader,artist,"Yeah, No, 4 Sure","electronic artist working out of stockholm, active since 1994.",2021,"6xFile, WAV, EP",29463514,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,,electronic
1,The Persuader,artist,City Of Bridges,"electronic artist working out of stockholm, active since 1994.",2021,varios,2567561,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,undefined,electronic
1,The Persuader,artist,CTRL008,"electronic artist working out of stockholm, active since 1994.",2022,"2xFile, MP3, EP, 320",27077919,https://www.discogs.com/artist/1-The-Persuader,https://api.discogs.com/artists/1/releases,,electronic
